MetaboliteID,UABT00017,UABT00018,UABT00019,UABT00020,UABT00021,UABT00022,UABT00023,UABT00024,UABT00025,UABT00026,UABT00027,UABT00028,UABT00029,UABT00030,UABT00031,UABT00032
M126,38139628,37215424,43343024,42497992,NA,NA,NA,NA,61652736,55073752,61568168,57303828,28452186,24002180,26392208,24993094
M127,444460896,432440544,486737664,454213248,527669,586551,600631,511125,640816512,543266112,625601216,644068800,541055168,529145408,554266688,498708480
M128,11877204,12530316,10972502,14130529,3469344,5779527,3433014,4525420,10545240,10402688,9836007,10096794,2150010,2763711,3115200,2879228
M129,1088211,965041,1231175,1048628,NA,NA,NA,NA,1534132,1355316,1420229,1407703,199685,165051,273741,117616
M130,744728,860673,839879,1099703,325743,319547,421904,434775,785688,762151,440053,512059,691449,359869,573038,319652
M131,703639,909910,721321,928642,1056156,911621,1126930,993341,1318168,1105689,952140,901156,941405,702845,656126,867058
M132,2152279,2105632,1938142,1655088,501523,675643,467802,716714,4333984,3641136,3433218,2977549,478209,336952,426484,412645
M133,1361996,1778523,1477052,2051630,1363359,NA,883489,750816,1944049,1745348,1935028,2390094,2079294,1731481,1738368,2179111
M134,1533474,1450719,1511638,1789735,NA,NA,NA,NA,2741221,2167279,2208254,2416695,1433206,1250966,1441489,1290375
M135,2238822,2110211,2295117,2184305,860005,899206,1002206,884226,1714585,1363220,1747813,1509181,502508,484093,NA,378299
M136,1101772,778265,1747576,637960,1482413,1469538,1162191,1185624,1370682,447470,484342,480381,698162,715733,799613,821375
M137,NA,NA,NA,NA,427836,191104,NA,139300,NA,NA,NA,NA,NA,NA,NA,NA
M138,23904384,24449140,21816532,24460968,12678916,10859760,14610862,13783248,17192652,11007205,10526325,10722010,5209605,5672021,4590952,7216993
M139,41742216,44184224,46226688,51504376,29474660,47606680,32147648,31047358,62949572,61155656,69420824,62759760,15395993,14730922,13238396,16390476
M140,17915632,18527752,17907776,17188180,11741190,11332130,13022467,12745977,22294012,17178272,19226194,20751966,6207898,6700278,5963358,7037855
M141,3393641,2472941,2285390,2206626,1529111,1356243,1672018,1453433,3027452,1969540,1857276,2419288,2071760,1459740,1512264,1613892
M142,422600544,403152384,424906976,385365952,206550608,191537376,222506816,224138912,445125664,287818496,332629824,343714400,110245528,156133216,117010576,167413712
M143,1771561,1600229,1862238,2252591,100700,243016,261100,384174,4044795,3493223,3332006,3820884,2157651,2034505,2252353,2280556
M144,1173008,757923,1137524,794839,2407553,1717781,2267518,2247557,1016640,913661,1193260,963104,961564,649386,865479,1265948
M145,1335467,1300916,1418044,1532467,4104126,4038705,4538290,3872240,1664321,1718115,1866164,1737128,609348,554877,530550,577264
M146,72008328,75478408,70968352,77877376,800166,420114,932319,NA,92898440,67295736,65693208,58957216,18217236,15743492,15341451,14278474
M147,988726,874752,854590,868415,NA,NA,NA,64977,921593,698259,768619,612628,184971,125355,172014,112080
M148,29002316,31327012,32321384,34217408,715698,825716,859175,667754,21188280,16694564,18445744,18658472,7561390,5860999,6594106,6325834
M149,9790017,9624687,10302072,9850780,1432073,1334033,1394259,2113382,7286165,6383701,5456208,7864701,4808459,4277849,5198634,4635126
M150,10392966,11584223,10743928,11463816,1955118,1904860,2091398,2024014,8438736,6687081,6198997,6953958,1232307,1196468,1158573,1123276
M151,1709153,1847834,1685247,1984696,4829896,6572717,5667421,4988770,1638476,1330656,1204459,1189373,4966563,3972785,5285556,3653879
M152,6914980,7202783,6681123,8025433,2245333,2367289,2562209,2355540,4947860,4686832,4442547,4478422,631489,448690,550419,593503
M153,144278,100337,122299,112457,NA,42846,36226,32229,133656,131238,96511,114969,64968,51837,62030,74842
M154,5115621,6667559,6773610,6829424,1775829,1703345,1970643,1937591,4549624,5040910,4093568,4180059,6674694,6113062,4787748,4557875
M155,10835627,12123344,10194539,12880947,1399643,1561716,1980022,1716794,9212261,8300877,6432438,7317302,1047401,912042,983302,949608
M156,738727,864052,663274,1031940,382650,353692,300963,368383,764696,875456,898001,701632,263981,114375,193097,146777
M157,611575,817643,728991,819245,NA,188904,248348,273489,753060,781348,738175,762067,670655,613176,487581,576819
M158,420083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425341,439347,NA,433630
M159,374428,362682,414649,437604,NA,NA,NA,NA,196593,186469,219254,214672,NA,NA,NA,NA
M160,12815841,12656443,12817360,12100549,2842124,3310134,3188449,3146600,10400850,8775696,9423574,8794327,7370891,7107286,7739339,6912500
M161,386800,370598,450801,448858,NA,117903,NA,NA,869361,632182,649348,538504,NA,148249,113562,73643
M162,25247282,26815452,26126436,27150534,3951590,3804504,4313436,4201313,33491216,27934118,25825024,27345056,16513611,14932382,14936365,14907408
M163,814519,790377,740456,909253,391082,249759,NA,530108,833593,941732,796536,692819,NA,333575,NA,386703
M164,1623117,1456337,3554805,4071688,335386,NA,180083,284304,2426876,986205,486177,1828571,NA,488906,356292,747127
M165,71590632,77643072,75504744,80860792,16654746,16913526,18199016,17737620,39465856,33781952,34523940,36026780,3327184,3040873,3004125,3006833
M166,213864,107837,161762,113314,277162,309779,269921,319909,NA,NA,117018,NA,290129,193794,NA,197633
M167,NA,NA,1229081,NA,12567130,4976973,10051896,5659513,NA,NA,1406611,NA,NA,779252,NA,NA
M168,23827880,26735102,21913496,22028722,25537380,10640713,14228108,9420576,26136932,23493072,28739072,24151122,4667907,2780944,2636063,1697298
M169,40496424,47590856,35130876,39501556,13950732,5022508,5992143,4880398,38089404,29626508,33522656,26990772,3901130,3105455,2581902,2400876
M170,35853320,38393664,35477552,42936032,2009323,NA,1420447,1180795,31503832,26641316,27545512,24546106,4546122,5856391,4172646,3589528
M171,15884333,19588168,17240100,15517081,241789,203572,275551,237899,20383280,19524012,21300000,17828742,5601366,5552188,5040207,4208773
M172,3337163,2779128,2930010,2382785,1261250,866645,1138292,832143,2720544,2015606,2388872,1862008,842739,788621,987531,642771
M173,18232390,22572664,21493248,21754092,27651600,31678188,33341756,33390672,33349710,26604242,32829304,31194674,26591962,24830380,25813018,22661624
M174,450498272,537292608,661207424,683934720,84445408,104871000,80756232,111336720,775513728,426518208,635790976,805007296,483595648,454427904,508516288,476403392
M175,NA,NA,NA,NA,1117807,810501,574121,587372,NA,NA,NA,NA,NA,NA,NA,NA
M176,57439592,59510896,112836288,113960680,21605148,24058654,12784659,18351560,161827024,66736548,85350496,94204488,49101012,50317040,66029252,64437672
M177,1000556096,972962368,2434839552,2282430720,870095488,828129536,288693344,505347488,1955237760,1050436992,1089999616,907305920,664138624,840528512,1111404672,939661184
M178,1439066,1547629,2114194,2112437,2937769,2369273,1758390,1892618,2483919,1908874,1596647,1678876,1478055,1927776,2514694,2035581
M179,50696648,53765136,62529172,66853664,117092368,105060328,78804864,80436240,82696072,60997324,59883840,67521048,85960104,90829504,147876496,102143872
M180,NA,40473,34671,89375,136921,133303,88052,72864,95931,NA,NA,81857,98999,133363,187835,120380
M181,137644,170862,173150,223703,329179,317374,230771,218529,293544,160346,168116,246194,320266,369495,416057,329993
M182,1082833,1060874,1279907,1457469,2154232,2080755,1880488,1685616,1777210,1057141,1088616,1620567,2184500,1988695,2996692,2393228
M184,2819815,882390,NA,NA,30278492,15390620,17794622,13070731,NA,1147468,NA,NA,538429,934308,623609,763217
