Accession,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12
EIC28623.1,159,170,231,190,164,87,138,144,141,260,247,34
EIC28624.1,207,253,289,223,222,174,242,291,345,307,216,69
EIC28625.1,759,1011,1058,963,721,676,831,1046,1516,990,1014,299
EIC28626.1,246,256,251,222,230,142,112,147,243,399,312,61
EIC28627.1,1163,1276,1401,1658,1261,1074,496,597,1257,1850,1646,376
EIC28628.1,844,1401,627,1074,839,1210,194,199,448,742,802,201
EIC28629.1,8187,14341,4856,9553,6538,10417,1503,2167,4168,4562,5791,1803
EIC28630.1,3511,6026,2100,4350,2885,4344,792,998,1651,1799,2385,685
EIC28631.1,1373,2363,844,1429,1144,1784,658,681,1039,820,999,357
EIC28632.1,13,9,4,6,10,5,6,7,12,11,9,3
EIC28633.1,81,113,106,101,93,120,56,65,125,113,111,32
EIC28634.1,70,64,52,87,71,53,44,54,70,61,75,10
EIC28635.1,291,376,368,377,298,372,318,373,458,437,476,123
EIC28636.1,1183,1938,1593,1674,1204,2470,655,757,1055,1318,1360,375
EIC28637.1,299,349,366,445,380,349,203,195,435,486,538,103
EIC28638.1,525,690,708,808,639,600,306,328,534,802,914,201
EIC28639.1,499,697,667,774,718,541,310,339,600,850,875,201
EIC28640.1,1340,1946,1726,1907,1444,1876,1013,1095,1418,1878,2022,492
EIC28641.1,597,857,695,953,735,1051,243,274,699,923,956,228
EIC28642.1,618,788,744,853,727,803,166,229,582,976,921,190
EIC28643.1,259,310,372,394,304,318,104,123,170,412,387,87
EIC28644.1,103,109,114,122,126,92,62,54,87,129,147,26
EIC28645.1,45,69,59,68,53,48,15,22,48,93,88,11
EIC28646.1,1794,1983,2456,3011,2445,1716,621,775,1833,3215,3807,806
EIC28647.1,28,33,56,68,56,14,27,21,50,71,73,25
EIC28648.1,1143,1123,1488,1527,1301,699,444,689,1254,1999,2186,443
EIC28649.1,2384,2421,3163,3838,2929,2107,1103,1387,2833,4055,4449,1104
EIC28650.1,1996,2481,2854,2765,2431,2166,1458,2025,3330,3342,3606,1081
EIC28651.1,470,588,607,884,741,511,201,224,443,758,804,161
EIC28652.1,372,432,443,709,542,354,145,170,357,550,648,146
EIC28653.1,393,398,470,649,526,393,211,228,434,519,599,155
EIC28654.1,534,676,693,960,832,665,280,314,616,893,947,203
EIC28655.1,818,1124,1105,1471,1128,1365,332,375,834,1173,1419,365
EIC28656.1,210,547,135,381,236,850,69,72,133,131,307,107
EIC28657.1,315,896,205,477,393,1432,86,99,173,254,442,113
EIC28658.1,236,482,151,435,323,821,66,76,165,242,320,88
EIC28659.1,477,663,575,1038,792,677,189,235,413,618,764,157
EIC28660.1,391,479,481,902,632,513,95,140,248,554,572,121
EIC28661.1,1322,1718,1585,2399,1936,1496,547,674,1067,2001,2049,344
EIC28662.1,1749,2154,2231,3594,2700,1798,558,840,1116,2337,2669,386
EIC28663.1,521,792,529,940,831,528,411,684,845,878,785,172
EIC28664.1,1784,2646,2272,1990,1536,3033,998,1090,1689,2617,2632,614
EIC28665.1,985,1428,1228,1075,881,1446,380,494,682,1353,1389,235
EIC28666.1,504,712,727,636,477,745,222,229,364,664,689,130
EIC28667.1,3848,6287,4566,4130,3128,6018,2560,3635,4593,4396,4735,1154
EIC28668.1,3075,4522,3929,4877,3748,4520,1255,1554,2644,4379,4502,877
EIC28669.1,1441,1786,1640,2567,1980,1445,461,535,968,1928,1942,343
EIC28670.1,364,533,441,508,388,403,260,337,391,522,459,96
EIC28671.1,205,268,250,351,257,329,81,105,175,255,275,78
EIC28672.1,816,1074,940,1599,1229,1379,283,341,749,1221,1220,305
EIC28673.1,3,8,5,10,11,7,1,2,3,5,3,1
EIC28674.1,567,873,885,1245,932,1073,381,418,569,800,883,237
EIC28675.1,510,767,643,665,558,855,282,309,498,720,882,170
EIC28676.1,389,530,493,562,468,637,278,320,561,600,716,212
EIC28677.1,862,1161,1104,1392,1086,1338,282,390,686,1310,1475,311
EIC28678.1,63,113,81,93,90,122,29,52,55,110,85,14
EIC28679.1,1448,2313,1907,1912,1376,2564,885,1080,1546,1904,2216,488
EIC28680.1,3154,4822,3895,3872,2822,4313,1446,2050,2819,3745,3945,815
EIC28681.1,7666,11186,7802,11928,8678,11276,2922,4412,7570,7796,10112,2819
EIC28682.1,6385,9060,6594,9495,7410,7887,1761,2468,5027,6828,8073,1978
EIC28683.1,562,896,650,770,772,606,278,363,501,793,805,140
EIC28684.1,862,1007,906,1134,1097,615,283,419,769,1195,1196,230
EIC28685.1,588,608,664,988,837,449,184,226,469,777,814,172
EIC28686.1,1121,1420,1397,1430,1351,1160,648,834,1298,1700,1823,353
EIC28687.1,527,641,608,704,550,488,299,381,584,700,767,198
EIC28688.1,479,586,521,653,502,391,262,300,413,567,589,152
EIC28689.1,1295,1485,1543,1694,1423,1229,678,709,1201,1671,1763,411
EIC28690.1,606,669,695,893,702,762,227,233,541,781,924,223
EIC28691.1,1305,1581,1639,1878,1616,1586,449,529,983,1941,2097,416
EIC28692.1,1280,1590,1554,1516,1257,1411,727,882,1231,1629,1686,354
EIC28693.1,2256,1932,3227,2599,2379,1172,1993,2684,2787,4240,3940,758
EIC28694.1,462,413,586,689,529,286,283,309,500,757,752,155
EIC28695.1,330,323,464,505,409,177,100,119,277,594,599,80
EIC28696.1,5580,5485,7743,8371,6454,3303,1997,2413,5038,9340,10902,1778
EIC28697.1,2019,2086,2558,2664,2266,1495,1042,1266,2077,3161,3554,662
EIC28698.1,1083,1220,1469,1248,1021,958,559,740,1315,1464,1792,342
EIC28699.1,569,1107,704,844,657,1742,177,184,513,689,882,181
EIC28700.1,235,532,260,335,264,778,81,86,188,335,348,89
EIC28701.1,4401,4819,6037,5714,4818,3419,2695,3322,4899,6935,7497,1620
EIC28702.1,2260,2263,3294,2990,2332,1269,1010,1394,2075,3457,3610,701
EIC28703.1,2630,2666,3606,3493,2688,1549,1282,1800,2591,3821,3984,807
EIC28704.1,466480,613480,623263,659467,448347,448545,66204,105962,199038,597615,628187,46529
EIC28705.1,3312,4349,4073,4227,2830,4544,2174,1957,2478,3742,3851,769
EIC28706.1,110,333,109,145,115,634,71,69,108,129,175,48
EIC28707.1,14,52,18,28,12,126,17,12,38,20,20,10
EIC28708.1,131,275,126,183,167,255,139,183,231,199,200,74
EIC28709.1,67,114,57,110,70,140,27,62,88,103,93,24
EIC28710.1,58,100,65,74,65,120,56,62,88,86,77,37
EIC28711.1,373,516,422,574,503,787,274,273,434,546,512,117
EIC28712.1,594,809,648,869,747,782,392,378,542,788,775,137
EIC28713.1,342,436,322,413,359,544,365,370,456,431,468,118
EIC28714.1,55,97,47,76,63,104,45,82,81,68,75,23
EIC28715.1,311,469,438,439,371,619,659,503,759,485,524,337
EIC28716.1,255,296,251,286,229,254,187,204,271,278,260,61
EIC28717.1,211,289,314,327,247,250,200,251,352,278,301,99
EIC28718.1,1406,2147,1766,2146,1555,2147,631,808,1218,2009,2322,398
EIC28719.1,438,691,479,665,458,624,167,224,346,620,655,87
EIC28720.1,559,905,636,697,642,864,396,484,721,747,789,158
EIC28721.1,790,1076,928,1002,743,1325,449,534,780,894,931,240
EIC28722.1,643,868,689,727,721,1073,333,357,532,789,743,142
EIC28723.1,483,703,546,643,552,920,223,233,383,684,608,104
EIC28724.1,378,581,456,644,476,848,95,121,273,506,516,94
EIC28725.1,676,1181,914,1054,849,1224,200,314,665,949,842,171
EIC28726.1,111636,228113,104300,113550,77792,252609,101270,98709,120714,75852,79653,41369
EIC28727.1,2809,4184,3429,4609,3650,3656,1460,1906,2869,3999,4156,914
EIC28728.1,1387,2232,1591,2215,1611,2576,764,834,1414,1624,1836,398
EIC28729.1,86,102,109,141,100,116,79,89,117,159,173,26
EIC28730.1,167,196,167,228,177,176,93,86,165,225,252,46
EIC28731.1,455,583,592,801,665,626,206,263,483,752,822,174
EIC28732.1,245,344,377,560,402,405,180,226,325,460,509,115
EIC28733.1,463,411,713,850,629,298,148,182,325,851,898,133
EIC28734.1,298,236,475,490,428,180,155,140,281,494,649,92
EIC28735.1,3109,2824,4241,4421,3922,2013,1490,2059,2997,5672,6458,1053
